ID, Question                                                                   , Old Time(ms)      , New Time(ms)      , Old Top1          , New Top1          , Old Top5          , New Top5           , Old Context Words, New Context Words, Old Avg Chunk Words, New Avg Chunk Words
12, How does a for loop differ from a while loop?                              , 1868.2773000036832, 351.0793000168633 , 0.86147821336832  , 0.7021203568432941, 0.8015012710286211, 0.6732595816764751 ,               590,              3254,               11.8 ,               65.08
13, What are list comprehensions?                                              , 1765.158900001552 , 341.5476999944076 , 0.8068432721149124, 0.6861408100439605, 0.7833952446507888, 0.6576518566545493 ,               380,              2131,                7.6 ,               42.62
14, Explain variable scope in Python.                                          , 1759.019699995406 , 354.433100001188  , 0.7076073498331521, 0.6605367412822158, 0.6565680506115747, 0.6142632963445689 ,               443,              2806,                8.86,               56.12
15, What is mutable and immutable data in Python?                              , 1777.7314000122715, 341.9391000061296 , 0.7342495950585756, 0.6001273424866562, 0.6825737248409982, 0.5907167229188075 ,               502,              2536,               10.04,               50.72
16, How does string slicing work?                                              , 1777.3414999828674, 343.714100017678  , 0.7432974819134113, 0.670675653925355 , 0.6756012940144809, 0.5959125625191606 ,               391,              2497,                7.82,               49.94
17, What is the purpose of the range function?                                 , 1840.1119000045583, 338.3151000016369 , 0.6900710571722963, 0.6043327057062275, 0.6323514843275589, 0.56152991078393   ,               544,              3080,               10.88,               61.6
18, Explain default function arguments.                                        , 1894.098299992038 , 328.35090000298806, 0.7927517506939384, 0.690815636230385 , 0.7620532034367471, 0.6695037575140443 ,               425,              2408,                8.5 ,               48.16
19, How are keyword arguments different from positional arguments?             , 1870.6555999815464, 338.02120000473224, 0.6075967363126649, 0.5253334583320819, 0.5796326176928484, 0.5169921224907242 ,               520,              2619,               10.4 ,               52.38
20, What is the purpose of the pass statement?                                 , 1863.8483999820892, 336.26740000909194, 0.6401192787294483, 0.5592787079529709, 0.622609898783819 , 0.54386844406397   ,               469,              2805,                9.38,               56.1
21, Explain the concept of dynamic typing in Python.                           , 1844.1477000014856, 204.0706000116188 , 0.637236225961529 , 0.5803634700621568, 0.6307303741204163, 0.5722476180916031 ,               424,              2550,                8.48,               51.0
22, How does Python manage memory?                                             , 3018.55860001524  , 490.61690000235103, 0.7332417707995291, 0.6819044488658099, 0.7221220991553887, 0.6611908357122616 ,               536,              2654,               10.72,               53.08
23, What is aliasing in Python?                                                , 2746.205599978566 , 485.1368000090588 , 0.7173795884086684, 0.5978165023395209, 0.6739657490983187, 0.5660027363142325 ,               517,              2767,               10.34,               55.34
24, Explain object identity versus object equality.                            , 2872.214199975133 , 516.5023000154179 , 0.6634694983068501, 0.6199451614972918, 0.6617159368783142, 0.5953089054174807 ,               316,              2435,                6.32,               48.7
25, What is the purpose of the __init__ method?                                , 2806.712999998126 , 479.6953999903053 , 0.8433995907562453, 0.6437792824056146, 0.7688983538702336, 0.6340353069065704 ,               512,              2767,               10.24,               55.34
26, What are instance variables and class variables?                           , 2263.4362999815494, 331.31799998227507, 0.7330527624153792, 0.6500447444239081, 0.7024127792095042, 0.616518894124756  ,               454,              2599,                9.08,               51.98
27, Explain polymorphism in Python.                                            , 1932.1300000010524, 331.51759998872876, 0.6789218597778912, 0.5905142444510185, 0.6612811417712114, 0.585929014694608  ,               402,              2463,                8.04,               49.26
28, What is method overriding?                                                 , 1848.3024999732152, 338.6955999885686 , 0.7265927022405113, 0.6041906079976254, 0.6726890963248672, 0.5840995388070065 ,               477,              2633,                9.54,               52.66
29, How does encapsulation work in Python?                                     , 1866.3950000191107, 339.6198000118602 , 0.6491022050015485, 0.5914614378136903, 0.6377420677873202, 0.5839725904024345 ,               450,              2590,                9.0 ,               51.8
30, What are Python decorators?                                                , 1913.0162999790628, 343.04470001370646, 0.6264378340383279, 0.5306111382198418, 0.5915829250005336, 0.5060807526229225 ,               449,              2486,                8.98,               49.72
31, Explain higher-order functions.                                            , 1902.5479999836534, 335.058199998457  , 0.7165903361345598, 0.6764487850517263, 0.7138569040147941, 0.6442414219611117 ,               359,              2258,                7.18,               45.16
32, What is the map function used for?                                         , 1850.033099995926 , 349.45799998240545, 0.6728354625323093, 0.5763230738941723, 0.667138850189124 , 0.5639253085641919 ,               409,              2729,                8.18,               54.58
33, How does the filter function work?                                         , 1898.8742000074126, 330.4209999914747 , 0.7218498328087634, 0.5577381785910337, 0.700545389369713 , 0.5511575404531295 ,               424,              2667,                8.48,               53.34
34, What is the reduce function used for?                                      , 1971.7381999944337, 340.20229999441653, 0.6361422200613047, 0.5992527555505824, 0.6306322002721874, 0.5692908319586003 ,               476,              2595,                9.52,               51.9
35, Explain the zip function in Python.                                        , 1893.7397999980021, 337.76160000707023, 0.7318590156232511, 0.6045651556493155, 0.6666132324343276, 0.5857007195214782 ,               412,              2717,                8.24,               54.34
36, How do iterators work in Python?                                           , 1880.6816000142135, 319.1925999999512 , 0.7108172978273687, 0.6633503509940464, 0.6832698111102133, 0.6285504863275859 ,               536,              2904,               10.72,               58.08
37, What is the difference between an iterator and an iterable?                , 1910.792400012724 , 329.4035000144504 , 0.6968653905774778, 0.6116401853403398, 0.6572337481124917, 0.599382198682505  ,               537,              2654,               10.74,               53.08
38, How can files be opened and read in Python?                                , 1859.187699999893 , 344.7226000134833 , 0.6866772604758806, 0.6530490499084585, 0.6741492160095948, 0.6261910138174457 ,               504,              2483,               10.08,               49.66
39, Explain writing data to a file in Python.                                  , 1831.4385999983642, 358.76780000398867, 0.7318624618427583, 0.6595501002031463, 0.6951334022707768, 0.6365574764694673 ,               492,              2627,                9.84,               52.54
40, How does exception propagation work?                                       , 1877.6776999875437, 337.5549000047613 , 0.6043047619697011, 0.5366206430594664, 0.5997890555551407, 0.5161447300299231 ,               553,              2747,               11.06,               54.94
41, What is computational complexity?                                          , 1913.342499989085 , 329.11649998277426, 0.7785680036381336, 0.5921315777738314, 0.7156425165105411, 0.5827292436802498 ,               443,              2417,                8.86,               48.34
42, Explain Big O notation.                                                    , 1767.166300007375 , 327.3749000218231 , 0.8130718855005056, 0.6803780454493455, 0.7319092294016829, 0.6398537109378297 ,               429,              2120,                8.58,               42.4
43, What is linear search?                                                     , 1785.7687000068836, 337.7953000017442 , 0.7332555026685263, 0.5890247967674019, 0.7060523615975596, 0.5651813269999665 ,               594,              3476,               11.88,               69.52
44, How does binary search work?                                               , 1760.3120999992825, 354.3570999754593 , 0.9079256104324822, 0.6725975622642355, 0.823537361132348 , 0.6511997811119782 ,               624,              3404,               12.48,               68.08
45, Explain merge sort.                                                        , 1791.3842000125442, 337.24459999939427, 0.807613525700605 , 0.7330342502020282, 0.7740096110149268, 0.704556680838339  ,               418,              2113,                8.36,               42.26
46, Explain selection sort.                                                    , 1808.4309000114445, 324.6172000071965 , 0.759516410407233 , 0.7117362953309956, 0.7476580966373707, 0.6858445597099792 ,               418,              2170,                8.36,               43.4
47, What is the difference between linear search and binary search?            , 1754.295999999158 , 314.51220001326874, 0.835887918967039 , 0.6899930139682463, 0.7857601337180968, 0.6418460356301239 ,               664,              3461,               13.28,               69.22
48, What is recursion versus iteration?                                        , 1820.989500003634 , 326.9453000102658 , 0.806629238688436 , 0.6528716461016748, 0.7277742244919205, 0.6414640986714799 ,               451,              2382,                9.02,               47.64
49, How does memoization improve recursive algorithms?                         , 1823.8188000104856, 342.24410000024363, 0.6333476136456367, 0.6349914451638365, 0.6230465085846301, 0.5856852949939386 ,               510,              2514,               10.2 ,               50.28
50, Explain the difference between depth-first search and breadth-first search., 1770.6794000114314, 317.8623999992851 , 0.6413252227300517, 0.5551797959419809, 0.6150590559746476, 0.5454275829048717 ,               583,              3031,               11.66,               60.62
